tau_tdds,signal1,reference1,signal2,reference2,signal1_cts_s,reference1_cts_s,signal2_cts_s,reference2_cts_s,contrast
4457.3515625,7007,8561,7233,8547,206975.99999999997,252878.7692307692,213651.69230769228,252465.23076923072,0.968754320475598
4482.416666666667,6931,8444,7173,8664,204731.0769230769,249422.7692307692,211879.3846153846,255921.23076923072,0.9662623727868396
4507.481770833334,6949,8371,7135,8558,205262.7692307692,247266.4615384615,210756.92307692303,252790.15384615381,0.9739313244569026
4532.546875,7108,8356,7304,8549,209959.3846153846,246823.3846153846,215748.92307692303,252524.30769230766,0.9731653888280394
4557.611979166667,6909,8400,7259,8538,204081.23076923075,248123.07692307688,214419.69230769228,252199.3846153846,0.9517839922854388
4582.677083333334,6924,8683,7065,8610,204524.30769230766,256482.4615384615,208689.23076923075,254326.15384615381,0.9800424628450106
4607.7421875,6964,8640,7394,8393,205705.84615384613,255212.30769230766,218407.3846153846,247916.30769230766,0.9418447389775494
4632.807291666667,6984,8363,7365,8442,206296.61538461535,247030.15384615381,217550.7692307692,249363.69230769228,0.9482688391038696
4657.872395833334,6822,8478,7217,8349,201511.3846153846,250427.07692307688,213179.0769230769,246616.61538461535,0.9452681169460995
4682.9375,6927,8436,7261,8560,204612.92307692306,249186.4615384615,214478.7692307692,252849.23076923072,0.9540008263324611
4708.002604166667,7001,8468,7368,8395,206798.7692307692,250131.69230769228,217639.3846153846,247975.3846153846,0.9501900108577633
4733.067708333334,6811,8647,7240,8631,201186.4615384615,255419.07692307688,213858.4615384615,254946.4615384615,0.9407458563535912
4758.1328125,7088,8680,7243,8576,209368.61538461535,256393.84615384613,213947.0769230769,253321.84615384613,0.9786000276128676
4783.197916666667,7025,8474,7373,8562,207507.69230769228,250308.92307692303,217787.0769230769,252908.30769230766,0.9528007595280076
4808.263020833334,6933,8610,7280,8600,204790.15384615381,254326.15384615381,215039.99999999997,254030.7692307692,0.9523351648351648
4833.328125,7099,8476,7243,8602,209693.53846153844,250367.99999999997,213947.0769230769,254089.84615384613,0.9801187353306641
4858.393229166667,6966,8738,7310,8672,205764.92307692303,258107.07692307688,215926.15384615381,256157.53846153844,0.9529411764705882
4883.458333333334,7005,8551,7250,8338,206916.92307692303,252583.3846153846,214153.84615384613,246291.69230769228,0.9662068965517241
4908.5234375,7084,8711,7433,8664,209250.4615384615,257309.53846153844,219559.3846153846,255921.23076923072,0.9530472218485134
4933.588541666667,6833,8373,7050,8606,201836.30769230766,247325.53846153844,208246.15384615381,254207.99999999997,0.9692198581560284
4958.653645833334,6975,8541,7213,8529,206030.7692307692,252287.99999999997,213060.92307692303,251933.53846153844,0.9670040205185082
4983.71875,6941,8262,7306,8607,205026.4615384615,244046.7692307692,215807.99999999997,254237.53846153844,0.9500410621407063
5008.783854166667,7123,8517,7269,8517,210402.4615384615,251579.07692307688,214715.0769230769,251579.07692307688,0.9799147062869721
5033.848958333334,6976,8521,7443,8371,206060.30769230766,251697.23076923072,219854.7692307692,247266.4615384615,0.9372564826011017
5058.9140625,6880,8631,7153,8544,203224.61538461535,254946.4615384615,211288.61538461535,252376.61538461535,0.9618341954424717
5083.979166666667,6989,8543,7245,8482,206444.30769230766,252347.07692307688,214006.15384615381,250545.23076923072,0.9646652864044168
5109.044270833334,6817,8577,7248,8362,201363.69230769228,253351.3846153846,214094.7692307692,247000.61538461535,0.9405353200883002
5134.109375,6982,8682,7446,8544,206237.53846153844,256452.92307692303,219943.3846153846,252376.61538461535,0.9376846629062584
5159.174479166667,7042,8541,7182,8539,208009.84615384613,252287.99999999997,212145.23076923075,252228.92307692303,0.9805068226120858
5184.239583333334,7013,8474,7104,8384,207153.23076923075,250308.92307692303,209841.23076923075,247650.4615384615,0.9871903153153153
5209.3046875,6966,8718,7350,8579,205764.92307692303,257516.30769230766,217107.69230769228,253410.4615384615,0.9477551020408164
5234.369791666667,7136,8431,7319,8615,210786.4615384615,249038.7692307692,216191.99999999997,254473.84615384613,0.9749965842328187
5259.434895833334,6859,8509,7179,8396,202604.30769230766,251342.7692307692,212056.61538461535,248004.92307692303,0.9554255467335283
5284.5,6902,8521,7235,8320,203874.4615384615,251697.23076923072,213710.7692307692,245759.99999999997,0.9539737387698687
5309.565104166667,6920,8600,7253,8432,204406.15384615381,254030.7692307692,214242.4615384615,249068.30769230766,0.9540879636012685
5334.630208333334,7069,8436,7125,8387,208807.3846153846,249186.4615384615,210461.53846153844,247739.07692307688,0.992140350877193
5359.6953125,6885,8533,7342,8476,203372.30769230766,252051.69230769228,216871.3846153846,250367.99999999997,0.9377553800054481
5384.760416666667,6841,8400,7397,8588,202072.61538461535,248123.07692307688,218495.99999999997,253676.30769230766,0.9248343923212113
5409.825520833334,6958,8494,7286,8423,205528.61538461535,250899.69230769228,215217.23076923075,248802.4615384615,0.9549821575624485
5434.890625,7097,8401,7238,8481,209634.4615384615,248152.61538461535,213799.3846153846,250515.69230769228,0.9805194805194806
5459.955729166667,7072,8422,7145,8483,208895.99999999997,248772.92307692303,211052.30769230766,250574.7692307692,0.9897830650804759
5485.020833333334,6841,8292,7044,8586,202072.61538461535,244932.92307692303,208068.92307692303,253617.23076923072,0.9711811470755253
5510.0859375,6997,8479,7284,8554,206680.61538461535,250456.61538461535,215158.15384615381,252671.99999999997,0.9605985722130698
5535.151041666667,6938,8449,7219,8468,204937.84615384613,249570.4615384615,213238.15384615381,250131.69230769228,0.96107494112758
5560.216145833334,6964,8585,7356,8387,205705.84615384613,253587.69230769228,217284.92307692303,247739.07692307688,0.9467101685698749
5585.28125,6958,8736,7306,8537,205528.61538461535,258047.99999999997,215807.99999999997,252169.84615384613,0.9523679167807282
5610.346354166667,7121,8569,7240,8538,210343.3846153846,253115.07692307688,213858.4615384615,252199.3846153846,0.9835635359116022
5635.411458333334,6988,8425,7140,8550,206414.7692307692,248861.53846153844,210904.61538461535,252553.84615384613,0.9787114845938375
5660.4765625,6978,8349,7201,8553,206119.3846153846,246616.61538461535,212706.4615384615,252642.4615384615,0.9690320788779336
5685.541666666667,7035,8413,7261,8573,207803.0769230769,248507.07692307688,214478.7692307692,253233.23076923072,0.9688748106321443
5710.606770833334,6980,8544,7277,8305,206178.4615384615,252376.61538461535,214951.3846153846,245316.92307692303,0.9591864779442077
5735.671875,7013,8581,7388,8606,207153.23076923075,253469.53846153844,218230.15384615381,254207.99999999997,0.9492420140768815
5760.736979166667,7019,8632,7342,8426,207330.4615384615,254975.99999999997,216871.3846153846,248891.07692307688,0.9560065377281395
